"","Border","Date","Measure","Value","Average"
"11","US-Mexico Border","06/01/2019 12:00:00 AM","Personal Vehicle Passengers",11590003,14022944
"10","US-Mexico Border","06/01/2019 12:00:00 AM","Personal Vehicles",6124800,6531744
"4","US-Canada Border","06/01/2019 12:00:00 AM","Personal Vehicle Passengers",5407844,5504016
"9","US-Mexico Border","06/01/2019 12:00:00 AM","Pedestrians",3931845,3699825
"3","US-Canada Border","06/01/2019 12:00:00 AM","Personal Vehicles",2832881,2634870
"16","US-Mexico Border","06/01/2019 12:00:00 AM","Trucks",533555,400216
"8","US-Canada Border","06/01/2019 12:00:00 AM","Trucks",485867,509902
"17","US-Mexico Border","06/01/2019 12:00:00 AM","Truck Containers Full",399640,254507
"1","US-Canada Border","06/01/2019 12:00:00 AM","Truck Containers Full",366753,381710
"7","US-Canada Border","06/01/2019 12:00:00 AM","Bus Passengers",202261,265616
"20","US-Mexico Border","06/01/2019 12:00:00 AM","Bus Passengers",176567,243314
"14","US-Canada Border","06/01/2019 12:00:00 AM","Rail Containers Full",153206,109534
"18","US-Mexico Border","06/01/2019 12:00:00 AM","Truck Containers Empty",139565,141210
"2","US-Canada Border","06/01/2019 12:00:00 AM","Truck Containers Empty",129434,88623
"5","US-Canada Border","06/01/2019 12:00:00 AM","Pedestrians",66714,46443
"15","US-Canada Border","06/01/2019 12:00:00 AM","Rail Containers Empty",62544,44388
"23","US-Mexico Border","06/01/2019 12:00:00 AM","Rail Containers Empty",49346,31645
"22","US-Mexico Border","06/01/2019 12:00:00 AM","Rail Containers Full",45091,28165
"13","US-Canada Border","06/01/2019 12:00:00 AM","Train Passengers",44094,21184
"19","US-Mexico Border","06/01/2019 12:00:00 AM","Buses",12979,19486
"6","US-Canada Border","06/01/2019 12:00:00 AM","Buses",8975,11056
"12","US-Canada Border","06/01/2019 12:00:00 AM","Trains",2162,2509
"21","US-Mexico Border","06/01/2019 12:00:00 AM","Trains",964,729
"24","US-Mexico Border","06/01/2019 12:00:00 AM","Train Passengers",851,1031
"41","US-Mexico Border","05/01/2019 12:00:00 AM","Personal Vehicle Passengers",11161555,14033163
"40","US-Mexico Border","05/01/2019 12:00:00 AM","Personal Vehicles",6087007,6533332
